,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-11 00:00:00,30.1220806,6.04328192358465,23.195076129144855,30.1220806,30.1220806,-15.595938106602024,-15.595938106602024,-15.595938106602024,-15.595938106602024,-15.595938106602024,-15.595938106602024,0.0,0.0,0.0,14.526142493397977
1,2021-08-11 00:15:00,30.11959515272222,4.769135393064342,22.622121642093862,30.11959515272222,30.11959515272222,-15.930639376637274,-15.930639376637274,-15.930639376637274,-15.930639376637274,-15.930639376637274,-15.930639376637274,0.0,0.0,0.0,14.188955776084946
2,2021-08-11 00:30:00,30.117109705444445,5.499806847624269,23.36481302922857,30.117109705444445,30.117109705444445,-16.08108273155243,-16.08108273155243,-16.08108273155243,-16.08108273155243,-16.08108273155243,-16.08108273155243,0.0,0.0,0.0,14.036026973892014
3,2021-08-11 00:45:00,30.114624258166664,5.663256716930149,22.198990983659833,30.114624258166664,30.114624258166664,-16.03631626409613,-16.03631626409613,-16.03631626409613,-16.03631626409613,-16.03631626409613,-16.03631626409613,0.0,0.0,0.0,14.078307994070535
4,2021-08-11 01:00:00,30.11213881088889,5.578465908451025,22.730009710914167,30.11213881088889,30.11213881088889,-15.80127602097353,-15.80127602097353,-15.80127602097353,-15.80127602097353,-15.80127602097353,-15.80127602097353,0.0,0.0,0.0,14.31086278991536
5,2021-08-11 01:15:00,30.109653363611113,5.677053626916756,23.502978661691472,30.109653363611113,30.109653363611113,-15.396846763937395,-15.396846763937395,-15.396846763937395,-15.396846763937395,-15.396846763937395,-15.396846763937395,0.0,0.0,0.0,14.712806599673717
6,2021-08-11 01:30:00,30.10716791633333,6.798686184492312,23.880528732470047,30.10716791633333,30.10716791633333,-14.858645006895248,-14.858645006895248,-14.858645006895248,-14.858645006895248,-14.858645006895248,-14.858645006895248,0.0,0.0,0.0,15.248522909438083
7,2021-08-11 01:45:00,30.104682469055557,7.454481971039637,24.43635512631431,30.104682469055557,30.104682469055557,-14.234597660530433,-14.234597660530433,-14.234597660530433,-14.234597660530433,-14.234597660530433,-14.234597660530433,0.0,0.0,0.0,15.870084808525124
8,2021-08-11 02:00:00,30.102197021777776,8.005967725312713,25.17739368271135,30.102197021777776,30.102197021777776,-13.581478271125047,-13.581478271125047,-13.581478271125047,-13.581478271125047,-13.581478271125047,-13.581478271125047,0.0,0.0,0.0,16.52071875065273
9,2021-08-11 02:15:00,30.099711574500002,8.667747082502055,26.189117594329414,30.099711574500002,30.099711574500002,-12.960640618275102,-12.960640618275102,-12.960640618275102,-12.960640618275102,-12.960640618275102,-12.960640618275102,0.0,0.0,0.0,17.1390709562249
10,2021-08-11 02:30:00,30.09722612722222,9.142823014947856,26.0246368529667,30.09722612722222,30.09722612722222,-12.43325079083723,-12.43325079083723,-12.43325079083723,-12.43325079083723,-12.43325079083723,-12.43325079083723,0.0,0.0,0.0,17.663975336384993
11,2021-08-11 02:45:00,30.094740679944444,9.809893434268533,26.66156694873007,30.094740679944444,30.094740679944444,-12.055359387399003,-12.055359387399003,-12.055359387399003,-12.055359387399003,-12.055359387399003,-12.055359387399003,0.0,0.0,0.0,18.039381292545443
12,2021-08-11 03:00:00,30.092255232666666,9.857380756357172,27.379520857006533,30.092255232666666,30.092255232666666,-11.87317221802778,-11.87317221802778,-11.87317221802778,-11.87317221802778,-11.87317221802778,-11.87317221802778,0.0,0.0,0.0,18.219083014638887
13,2021-08-11 03:15:00,30.08976978538889,10.023371572808747,26.91265227932056,30.08976978538889,30.08976978538889,-11.918869464591623,-11.918869464591623,-11.918869464591623,-11.918869464591623,-11.918869464591623,-11.918869464591623,0.0,0.0,0.0,18.170900320797266
14,2021-08-11 03:30:00,30.08728433811111,9.813726599631222,27.099964500364216,30.08728433811111,30.08728433811111,-12.207290086225479,-12.207290086225479,-12.207290086225479,-12.207290086225479,-12.207290086225479,-12.207290086225479,0.0,0.0,0.0,17.879994251885634
15,2021-08-11 03:45:00,30.084798890833333,9.373576921412287,25.781521522219805,30.084798890833333,30.084798890833333,-12.733742468619266,-12.733742468619266,-12.733742468619266,-12.733742468619266,-12.733742468619266,-12.733742468619266,0.0,0.0,0.0,17.351056422214068
16,2021-08-11 04:00:00,30.08231344389861,7.382203626474751,25.11942504572155,30.08231344389861,30.08231344389861,-13.473127584952673,-13.473127584952673,-13.473127584952673,-13.473127584952673,-13.473127584952673,-13.473127584952673,0.0,0.0,0.0,16.609185858945935
17,2021-08-11 04:15:00,30.07982799696389,7.550690853654964,24.48673364230205,30.07982799696389,30.07982799696389,-14.380472300670606,-14.380472300670606,-14.380472300670606,-14.380472300670606,-14.380472300670606,-14.380472300670606,0.0,0.0,0.0,15.699355696293283
18,2021-08-11 04:30:00,30.07734255002917,6.252891082105147,23.744699177673535,30.07734255002917,30.07734255002917,-15.392873932694473,-15.392873932694473,-15.392873932694473,-15.392873932694473,-15.392873932694473,-15.392873932694473,0.0,0.0,0.0,14.684468617334696
19,2021-08-11 04:45:00,30.07485710309444,5.232183390241189,21.82385502013966,30.07485710309444,30.07485710309444,-16.432759350541385,-16.432759350541385,-16.432759350541385,-16.432759350541385,-16.432759350541385,-16.432759350541385,0.0,0.0,0.0,13.642097752553056
20,2021-08-11 05:00:00,30.07237165615972,3.6972790262494115,21.077125081314726,30.07237165615972,30.07237165615972,-17.41226953491035,-17.41226953491035,-17.41226953491035,-17.41226953491035,-17.41226953491035,-17.41226953491035,0.0,0.0,0.0,12.66010212124937
21,2021-08-11 05:15:00,30.069886209225,3.6750427015808027,20.339372908656188,30.069886209225,30.069886209225,-18.23849995138094,-18.23849995138094,-18.23849995138094,-18.23849995138094,-18.23849995138094,-18.23849995138094,0.0,0.0,0.0,11.83138625784406
22,2021-08-11 05:30:00,30.06740076229028,2.260098314441204,19.970872216084633,30.06740076229028,30.06740076229028,-18.819264019766972,-18.819264019766972,-18.819264019766972,-18.819264019766972,-18.819264019766972,-18.819264019766972,0.0,0.0,0.0,11.248136742523307
23,2021-08-11 05:45:00,30.064915315355556,1.8708834727874084,19.122972777670086,30.064915315355556,30.064915315355556,-19.069005806034607,-19.069005806034607,-19.069005806034607,-19.069005806034607,-19.069005806034607,-19.069005806034607,0.0,0.0,0.0,10.99590950932095
24,2021-08-11 06:00:00,30.062429868420836,2.20383077557955,19.761367822416503,30.062429868420836,30.062429868420836,-18.91447184004615,-18.91447184004615,-18.91447184004615,-18.91447184004615,-18.91447184004615,-18.91447184004615,0.0,0.0,0.0,11.147958028374685
25,2021-08-11 06:15:00,30.05994442148611,3.0085618547709485,20.12685478957333,30.05994442148611,30.05994442148611,-18.29976198470943,-18.29976198470943,-18.29976198470943,-18.29976198470943,-18.29976198470943,-18.29976198470943,0.0,0.0,0.0,11.760182436776681
26,2021-08-11 06:30:00,30.057458974551388,3.686416642793279,21.746333932189227,30.057458974551388,30.057458974551388,-17.190415103865487,-17.190415103865487,-17.190415103865487,-17.190415103865487,-17.190415103865487,-17.190415103865487,0.0,0.0,0.0,12.867043870685901
27,2021-08-11 06:45:00,30.054973527616667,5.959832665463821,22.869067227015787,30.054973527616667,30.054973527616667,-15.5762446445826,-15.5762446445826,-15.5762446445826,-15.5762446445826,-15.5762446445826,-15.5762446445826,0.0,0.0,0.0,14.478728883034067
28,2021-08-11 07:00:00,30.052488080681947,7.923325638117465,25.226665664573197,30.052488080681947,30.052488080681947,-13.472718385628296,-13.472718385628296,-13.472718385628296,-13.472718385628296,-13.472718385628296,-13.472718385628296,0.0,0.0,0.0,16.57976969505365
29,2021-08-11 07:15:00,30.050002633747223,10.481248284624613,27.542021114205703,30.050002633747223,30.050002633747223,-10.920770264728212,-10.920770264728212,-10.920770264728212,-10.920770264728212,-10.920770264728212,-10.920770264728212,0.0,0.0,0.0,19.12923236901901
30,2021-08-11 07:30:00,30.047517186812502,13.410201415102017,30.923788945581514,30.047517186812502,30.047517186812502,-7.985034201490678,-7.985034201490678,-7.985034201490678,-7.985034201490678,-7.985034201490678,-7.985034201490678,0.0,0.0,0.0,22.062482985321825
31,2021-08-11 07:45:00,30.045031739877782,16.693074960405358,33.73092873171202,30.045031739877782,30.045031739877782,-4.750593446089514,-4.750593446089514,-4.750593446089514,-4.750593446089514,-4.750593446089514,-4.750593446089514,0.0,0.0,0.0,25.294438293788268
32,2021-08-11 08:00:00,30.042546295986064,19.854784559975034,37.62069404884337,30.042546295986064,30.042546295986064,-1.3184370763613027,-1.3184370763613027,-1.3184370763613027,-1.3184370763613027,-1.3184370763613027,-1.3184370763613027,0.0,0.0,0.0,28.72410921962476
33,2021-08-11 08:15:00,30.04006085209435,23.960548179420567,40.13077417113966,30.04006085209435,30.04006085209435,2.2000984923133218,2.2000984923133218,2.2000984923133218,2.2000984923133218,2.2000984923133218,2.2000984923133218,0.0,0.0,0.0,32.24015934440767
34,2021-08-11 08:30:00,30.037575408202628,27.89708758128795,44.75098296081367,30.037575408202628,30.037575408202628,5.689556812759336,5.689556812759336,5.689556812759336,5.689556812759336,5.689556812759336,5.689556812759336,0.0,0.0,0.0,35.72713222096196
35,2021-08-11 08:45:00,30.03508996431091,30.611442352234363,47.70081226907424,30.03508996431091,30.03508996431091,9.036865510375602,9.036865510375602,9.036865510375602,9.036865510375602,9.036865510375602,9.036865510375602,0.0,0.0,0.0,39.07195547468651
36,2021-08-11 09:00:00,30.03260452041919,33.871639030196576,50.33880381098263,30.03260452041919,30.03260452041919,12.137704973151065,12.137704973151065,12.137704973151065,12.137704973151065,12.137704973151065,12.137704973151065,0.0,0.0,0.0,42.17030949357026
37,2021-08-11 09:15:00,30.030119076527473,36.14637146882069,53.68690013287321,30.030119076527473,30.030119076527473,14.902336279157609,14.902336279157609,14.902336279157609,14.902336279157609,14.902336279157609,14.902336279157609,0.0,0.0,0.0,44.93245535568508
38,2021-08-11 09:30:00,30.027633632635755,38.58937398033979,55.40395013319669,30.027633632635755,30.027633632635755,17.260516761297456,17.260516761297456,17.260516761297456,17.260516761297456,17.260516761297456,17.260516761297456,0.0,0.0,0.0,47.28815039393321
