,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-11 00:00:00,30.3575812,10.563427330424508,23.807130182448567,30.3575812,30.3575812,-13.015095708701455,-13.015095708701455,-13.015095708701455,-13.015095708701455,-13.015095708701455,-13.015095708701455,0.0,0.0,0.0,17.342485491298543
1,2021-08-11 00:15:00,30.35287721397222,9.557432249227062,22.709869337664866,30.35287721397222,30.35287721397222,-14.157573630761657,-14.157573630761657,-14.157573630761657,-14.157573630761657,-14.157573630761657,-14.157573630761657,0.0,0.0,0.0,16.195303583210563
2,2021-08-11 00:30:00,30.348173227944443,8.325092887965111,21.825661177578176,30.348173227944443,30.348173227944443,-15.222067234599022,-15.222067234599022,-15.222067234599022,-15.222067234599022,-15.222067234599022,-15.222067234599022,0.0,0.0,0.0,15.126105993345421
3,2021-08-11 00:45:00,30.343469241916665,8.609842272049104,21.95068756219094,30.343469241916665,30.343469241916665,-15.573669359388168,-15.573669359388168,-15.573669359388168,-15.573669359388168,-15.573669359388168,-15.573669359388168,0.0,0.0,0.0,14.769799882528497
4,2021-08-11 01:00:00,30.338765255888887,8.385686520874462,22.352198271986804,30.338765255888887,30.338765255888887,-15.072994259966153,-15.072994259966153,-15.072994259966153,-15.072994259966153,-15.072994259966153,-15.072994259966153,0.0,0.0,0.0,15.265770995922734
5,2021-08-11 01:15:00,30.33406126986111,9.439681004724703,23.28785866153589,30.33406126986111,30.33406126986111,-14.077293365030307,-14.077293365030307,-14.077293365030307,-14.077293365030307,-14.077293365030307,-14.077293365030307,0.0,0.0,0.0,16.256767904830802
6,2021-08-11 01:30:00,30.329357283833332,10.379354882456088,24.30182504003687,30.329357283833332,30.329357283833332,-13.144964825788612,-13.144964825788612,-13.144964825788612,-13.144964825788612,-13.144964825788612,-13.144964825788612,0.0,0.0,0.0,17.18439245804472
7,2021-08-11 01:45:00,30.324653297805554,10.493303961091295,24.155495112986856,30.324653297805554,30.324653297805554,-12.683957206032446,-12.683957206032446,-12.683957206032446,-12.683957206032446,-12.683957206032446,-12.683957206032446,0.0,0.0,0.0,17.64069609177311
8,2021-08-11 02:00:00,30.319949311777776,11.055426320572163,24.298951126674112,30.319949311777776,30.319949311777776,-12.769002363292472,-12.769002363292472,-12.769002363292472,-12.769002363292472,-12.769002363292472,-12.769002363292472,0.0,0.0,0.0,17.550946948485304
9,2021-08-11 02:15:00,30.31524532575,10.339641511645356,23.295677066813646,30.31524532575,30.31524532575,-13.199210257453796,-13.199210257453796,-13.199210257453796,-13.199210257453796,-13.199210257453796,-13.199210257453796,0.0,0.0,0.0,17.116035068296203
