,TRUE,SARIMA,SARIMAX,Prophet,XGBoost
8/16/2021 17:45,27.13333333,27.35188269,30.46758024,37.15529856,31.19374
8/16/2021 18:00,36.46666667,23.13960619,27.77072417,32.59017899,28.469652
8/16/2021 18:15,27.53333333,21.20892425,25.97211212,30.32157768,27.15593
8/16/2021 18:30,19.2,19.04231591,24.41396729,30.194917,26.019444
8/16/2021 18:45,20.86666667,21.76733874,26.9094093,31.10087173,25.696981
8/16/2021 19:00,26.46666667,21.3897285,26.58283059,31.81930439,27.579824
8/16/2021 19:15,25.6,21.1102381,26.5369573,31.67946167,25.258053
8/16/2021 19:30,29.73333333,21.82639586,26.45159164,30.66139286,23.676926
8/16/2021 19:45,25.4,21.47584561,24.94628847,29.07107934,23.354464
8/16/2021 20:00,23.33333333,18.26465939,22.99554403,27.20581889,23.386038
8/16/2021 20:15,20.53333333,17.82271638,20.51956485,25.29593296,21.390984
8/16/2021 20:30,19.86666667,14.46510612,17.42008874,23.65101527,17.013515
8/16/2021 20:45,11.06666667,15.84183864,18.08701367,22.71524113,16.691053
8/16/2021 21:00,12,15.34303625,17.81243109,22.84816795,18.477942
8/16/2021 21:15,12.13333333,16.12600262,19.22130919,23.96859896,19.130552
8/16/2021 21:30,13.4,19.19849486,20.78837865,25.40822075,19.228895
8/16/2021 21:45,23.4,18.30954367,20.96833673,26.20302413,19.571665
8/16/2021 22:00,21.86666667,16.48735588,19.85574631,25.6898308,24.470455
8/16/2021 22:15,27.33333333,13.87721448,17.40718176,23.9840828,24.602404
8/16/2021 22:30,22.8,11.46018346,15.09157227,21.95656383,25.089272
8/16/2021 22:45,22.46666667,10.55533309,14.3728172,20.68617804,24.834812
8/16/2021 23:00,21.26666667,14.69166711,15.50691856,20.76132897,19.669512
8/16/2021 23:15,20.86666667,13.82138627,14.29735784,21.91995302,19.5196
8/16/2021 23:30,21.53333333,15.92748148,17.53235841,23.26825275,19.406582
8/16/2021 23:45,31.8,15.39313004,18.1203226,23.90011013,19.4399
8/17/2021 0:00,35.46666667,14.10853847,18.93851697,23.47187826,19.06088
