datetime,Total,feeding,minute,hour,dayofweek,month,predicted,pred_upper,pred_lower
2021-08-16 15:15:00,59.733333333333334,0,15,15,0,8,55.90254,77.079056,34.726017
2021-08-16 15:30:00,54.2,0,30,15,0,8,54.809223,75.98575,33.6327
2021-08-16 15:45:00,51.8,1,45,15,0,8,54.912937,76.08946,33.736416
2021-08-16 16:00:00,49.86666666666667,1,0,16,0,8,42.227932,63.404453,21.05141
2021-08-16 16:15:00,40.53333333333333,1,15,16,0,8,38.86165,60.03817,17.685127
2021-08-16 16:30:00,42.333333333333336,0,30,16,0,8,40.83753,62.01405,19.661007
2021-08-16 16:45:00,42.06666666666667,0,45,16,0,8,41.609455,62.785976,20.432934
2021-08-16 17:00:00,41.333333333333336,0,0,17,0,8,44.447643,65.62416,23.271122
2021-08-16 17:15:00,39.733333333333334,0,15,17,0,8,43.457504,64.634026,22.280983
2021-08-16 17:30:00,31.333333333333332,0,30,17,0,8,34.8532,56.02972,13.676678
2021-08-16 17:45:00,27.133333333333333,0,45,17,0,8,31.040928,52.21745,9.864407
2021-08-16 18:00:00,36.46666666666667,0,0,18,0,8,28.50878,49.685303,7.332258
2021-08-16 18:15:00,27.533333333333335,0,15,18,0,8,27.18816,48.36468,6.0116386
2021-08-16 18:30:00,19.2,0,30,18,0,8,26.051674,47.228195,4.8751526
2021-08-16 18:45:00,20.866666666666667,0,45,18,0,8,25.694616,46.87114,4.518095
2021-08-16 19:00:00,26.466666666666665,0,0,19,0,8,27.618952,48.79547,6.4424305
2021-08-16 19:15:00,25.6,0,15,19,0,8,25.290283,46.466805,4.113762
2021-08-16 19:30:00,29.733333333333334,0,30,19,0,8,23.709156,44.885677,2.5326347
2021-08-16 19:45:00,25.4,0,45,19,0,8,23.352098,44.528618,2.1755772
2021-08-16 20:00:00,23.333333333333332,0,0,20,0,8,23.425165,44.601685,2.2486439
2021-08-16 20:15:00,20.533333333333335,0,15,20,0,8,21.423214,42.599735,0.24669266
2021-08-16 20:30:00,19.866666666666667,0,30,20,0,8,17.045746,38.222267,-4.1307755
2021-08-16 20:45:00,11.066666666666666,0,45,20,0,8,16.688688,37.86521,-4.487833
2021-08-16 21:00:00,12.0,0,0,21,0,8,18.417965,39.594486,-2.7585564
2021-08-16 21:15:00,12.133333333333333,0,15,21,0,8,19.063679,40.2402,-2.1128426
2021-08-16 21:30:00,13.4,0,30,21,0,8,19.236902,40.41342,-1.9396191
2021-08-16 21:45:00,23.4,0,45,21,0,8,19.63125,40.80777,-1.5452709
2021-08-16 22:00:00,21.866666666666667,0,0,22,0,8,24.594147,45.770668,3.4176254
2021-08-16 22:15:00,27.333333333333332,0,15,22,0,8,24.719198,45.89572,3.542677
2021-08-16 22:30:00,22.8,0,30,22,0,8,25.206066,46.382587,4.029545
2021-08-16 22:45:00,22.466666666666665,0,45,22,0,8,24.894398,46.07092,3.7178764
2021-08-16 23:00:00,21.266666666666666,0,0,23,0,8,19.69199,40.86851,-1.4845314
2021-08-16 23:15:00,20.866666666666667,0,15,23,0,8,19.535181,40.7117,-1.6413403
2021-08-16 23:30:00,21.533333333333335,0,30,23,0,8,19.422163,40.598686,-1.7543583
2021-08-16 23:45:00,31.8,0,45,23,0,8,19.499485,40.676006,-1.6770363
2021-08-17 00:00:00,35.46666666666667,0,0,0,1,8,19.056791,40.233315,-2.11973
