,Training,TrueValue,SARIMA,SARIMAX,Prophet,XGBoost
8/12/2021 0:00,23.6,,,,,
8/12/2021 0:15,13.6,,,,,
8/12/2021 0:30,13.86666667,,,,,
8/12/2021 0:45,20.53333333,,,,,
8/12/2021 1:00,14.6,,,,,
8/12/2021 1:15,10.53333333,,,,,
8/12/2021 1:30,11.6,,,,,
8/12/2021 1:45,13.6,,,,,
8/12/2021 2:00,22.2,,,,,
8/12/2021 2:15,18.86666667,,,,,
8/12/2021 2:30,23.66666667,,,,,
8/12/2021 2:45,23.13333333,,,,,
8/12/2021 3:00,19.46666667,,,,,
8/12/2021 3:15,17.86666667,,,,,
8/12/2021 3:30,16.73333333,,,,,
8/12/2021 3:45,10.4,,,,,
8/12/2021 4:00,9.333333333,,,,,
8/12/2021 4:15,11.93333333,,,,,
8/12/2021 4:30,10.53333333,,,,,
8/12/2021 4:45,19.46666667,,,,,
8/12/2021 5:00,19.26666667,,,,,
8/12/2021 5:15,24.06666667,,,,,
8/12/2021 5:30,16.53333333,,,,,
8/12/2021 5:45,17.93333333,,,,,
8/12/2021 6:00,12.26666667,,,,,
8/12/2021 6:15,11.73333333,,,,,
8/12/2021 6:30,18,,,,,
8/12/2021 6:45,16.8,,,,,
8/12/2021 7:00,16.66666667,,,,,
8/12/2021 7:15,12.6,,,,,
8/12/2021 7:30,12.86666667,,,,,
8/12/2021 7:45,17.46666667,,,,,
8/12/2021 8:00,12.86666667,,,,,
8/12/2021 8:15,25.93333333,,,,,
8/12/2021 8:30,43.66666667,,,,,
8/12/2021 8:45,48.06666667,,,,,
8/12/2021 9:00,47.86666667,,,,,
8/12/2021 9:15,42.6,,,,,
8/12/2021 9:30,47.8,,,,,
8/12/2021 9:45,50.2,,,,,
8/12/2021 10:00,46.86666667,,,,,
8/12/2021 10:15,51.4,,,,,
8/12/2021 10:30,49.6,,,,,
8/12/2021 10:45,43.8,,,,,
8/12/2021 11:00,49.06666667,,,,,
8/12/2021 11:15,50.73333333,,,,,
8/12/2021 11:30,52.93333333,,,,,
8/12/2021 11:45,57.66666667,,,,,
8/12/2021 12:00,47.53333333,,,,,
8/12/2021 12:15,46.26666667,,,,,
8/12/2021 12:30,52.4,,,,,
8/12/2021 12:45,52.2,,,,,
8/12/2021 13:00,43.2,,,,,
8/12/2021 13:15,47.6,,,,,
8/12/2021 13:30,46.6,,,,,
8/12/2021 13:45,49.66666667,,,,,
8/12/2021 14:00,44,,,,,
8/12/2021 14:15,44.93333333,,,,,
8/12/2021 14:30,46.73333333,,,,,
8/12/2021 14:45,46.86666667,,,,,
8/12/2021 15:00,55.13333333,,,,,
8/12/2021 15:15,57.46666667,,,,,
8/12/2021 15:30,54,,,,,
8/12/2021 15:45,52.33333333,,,,,
8/12/2021 16:00,47.2,,,,,
8/12/2021 16:15,39.86666667,,,,,
8/12/2021 16:30,40.86666667,,,,,
8/12/2021 16:45,42.4,,,,,
8/12/2021 17:00,47.46666667,,,,,
8/12/2021 17:15,43.66666667,,,,,
8/12/2021 17:30,33.4,,,,,
8/12/2021 17:45,30.26666667,,,,,
8/12/2021 18:00,31.73333333,,,,,
8/12/2021 18:15,28.53333333,,,,,
8/12/2021 18:30,28.4,,,,,
8/12/2021 18:45,32.46666667,,,,,
8/12/2021 19:00,31.33333333,,,,,
8/12/2021 19:15,30.4,,,,,
8/12/2021 19:30,23.93333333,,,,,
8/12/2021 19:45,20.93333333,,,,,
8/12/2021 20:00,24.73333333,,,,,
8/12/2021 20:15,23.66666667,,,,,
8/12/2021 20:30,19.53333333,,,,,
8/12/2021 20:45,17.4,,,,,
8/12/2021 21:00,18.33333333,,,,,
8/12/2021 21:15,15.8,,,,,
8/12/2021 21:30,17.73333333,,,,,
8/12/2021 21:45,16.8,,,,,
8/12/2021 22:00,13.53333333,,,,,
8/12/2021 22:15,14.26666667,,,,,
8/12/2021 22:30,9.666666667,,,,,
8/12/2021 22:45,12.73333333,,,,,
8/12/2021 23:00,9.066666667,,,,,
8/12/2021 23:15,13.73333333,,,,,
8/12/2021 23:30,20.2,,,,,
8/12/2021 23:45,19,,,,,
8/13/2021 0:00,22.26666667,,,,,
8/13/2021 0:15,19.6,,,,,
8/13/2021 0:30,18.66666667,,,,,
